,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
19,ins-20,10.0004,53,True,False,rotation,area,median,h
20,ins-21,10.0006,55,True,False,rotation,area,median,h
21,ins-22,10.0006,87,True,False,rotation,area,median,h
22,ins-23,10.0005,55,True,False,rotation,area,median,h
23,ins-24,7.42594,31,True,True,rotation,area,median,h
24,ins-25,10.0007,71,True,False,rotation,area,median,h
25,ins-26,10.0005,107,True,False,rotation,area,median,h
26,ins-27,10.0004,102,True,False,rotation,area,median,h
27,ins-28,10.0005,96,True,False,rotation,area,median,h
28,ins-29,10.0005,71,True,False,rotation,area,median,h
29,ins-30,10.0006,111,True,False,rotation,area,median,h
0,ins-01,0.00063,8,True,True,rotation,none,none,none
1,ins-02,0.00166,9,True,True,rotation,none,none,none
2,ins-03,0.00167,10,True,True,rotation,none,none,none
3,ins-04,0.03597,11,True,True,rotation,none,none,none
4,ins-05,0.06741,12,True,True,rotation,none,none,none
5,ins-06,0.00373,13,True,True,rotation,none,none,none
6,ins-07,0.96552,14,True,True,rotation,none,none,none
7,ins-08,0.33877,15,True,True,rotation,none,none,none
8,ins-09,7.05798,16,True,True,rotation,none,none,none
9,ins-10,10.0002,18,True,False,rotation,none,none,none
10,ins-11,10.0,None,False,False,rotation,none,none,none
11,ins-12,10.0003,21,True,False,rotation,none,none,none
12,ins-13,10.0003,22,True,False,rotation,none,none,none
13,ins-14,10.0003,22,True,False,rotation,none,none,none
14,ins-15,10.0003,59,True,False,rotation,none,none,none
15,ins-16,10.0004,62,True,False,rotation,none,none,none
16,ins-17,10.0004,66,True,False,rotation,none,none,none
17,ins-18,10.0004,74,True,False,rotation,none,none,none
18,ins-19,10.0004,78,True,False,rotation,none,none,none
19,ins-20,10.0004,81,True,False,rotation,none,none,none
20,ins-21,10.0005,55,True,False,rotation,none,none,none
21,ins-22,10.0005,87,True,False,rotation,none,none,none
22,ins-23,10.0005,82,True,False,rotation,none,none,none
23,ins-24,10.0004,85,True,False,rotation,none,none,none
24,ins-25,10.0009,112,True,False,rotation,none,none,none
25,ins-26,10.0005,69,True,False,rotation,none,none,none
26,ins-27,10.0005,102,True,False,rotation,none,none,none
27,ins-28,10.0005,96,True,False,rotation,none,none,none
28,ins-29,10.0005,71,True,False,rotation,none,none,none
29,ins-30,10.0006,111,True,False,rotation,none,none,none
0,ins-01,0.00025,11,True,False,rotation,height,min,board
1,ins-02,0.00034,18,True,False,rotation,height,min,board
2,ins-03,0.00041,19,True,False,rotation,height,min,board
3,ins-04,0.00078,20,True,False,rotation,height,min,board
4,ins-05,0.00067,27,True,False,rotation,height,min,board
5,ins-06,0.00074,27,True,False,rotation,height,min,board
6,ins-07,0.00076,33,True,False,rotation,height,min,board
7,ins-08,0.0009,42,True,False,rotation,height,min,board
8,ins-09,0.00096,38,True,False,rotation,height,min,board
9,ins-10,0.00158,44,True,False,rotation,height,min,board
10,ins-11,0.0024,49,True,False,rotation,height,min,board
11,ins-12,0.00183,64,True,False,rotation,height,min,board
12,ins-13,10.0,None,False,False,rotation,height,min,board
13,ins-14,0.00214,69,True,False,rotation,height,min,board
14,ins-15,10.0,None,False,False,rotation,height,min,board
15,ins-16,0.00347,84,True,False,rotation,height,min,board
16,ins-17,0.00338,94,True,False,rotation,height,min,board
17,ins-18,0.00386,103,True,False,rotation,height,min,board
18,ins-19,0.00531,108,True,False,rotation,height,min,board
19,ins-20,0.00477,117,True,False,rotation,height,min,board
20,ins-21,0.00557,116,True,False,rotation,height,min,board
21,ins-22,0.00654,120,True,False,rotation,height,min,board
22,ins-23,10.0,None,False,False,rotation,height,min,board
23,ins-24,0.07771,123,True,False,rotation,height,min,board
24,ins-25,0.00942,166,True,False,rotation,height,min,board
25,ins-26,0.00982,148,True,False,rotation,height,min,board
26,ins-27,0.00575,147,True,False,rotation,height,min,board
27,ins-28,0.01959,151,True,False,rotation,height,min,board
28,ins-29,0.00784,174,True,False,rotation,height,min,board
